epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9814,1.06231,2.1375,1.32762,0.8833,0.54975,0.71462,0.57688,1.14058,2.65521,1.09616,0.0002,0.0002,0.0002
2,127.357,1.12999,1.83829,1.26147,0.43412,0.63696,0.55946,0.3232,1.80112,2.33141,1.60169,0.000402291,0.000402291,0.000402291
3,186.717,1.2178,1.61083,1.27047,0.58323,0.56619,0.5242,0.29237,2.034,3.71864,1.76627,0.000594062,0.000594062,0.000594062
4,246.689,1.24168,1.56307,1.29389,0.69289,0.41763,0.42508,0.25705,1.61842,10.2678,1.66894,0.000775316,0.000775316,0.000775316
5,305.903,1.30497,1.5331,1.36142,0.53437,0.61618,0.59426,0.28903,2.01641,3.04188,1.96303,0.00094605,0.00094605,0.00094605
6,366.183,1.36703,1.71404,1.39858,0.3517,0.67813,0.54144,0.26809,1.74141,5.42192,1.96268,0.00109531,0.00109531,0.00109531
7,429.808,1.3403,1.6542,1.3053,0.1471,0.61167,0.11608,0.04531,2.62593,23.209,2.95291,0.00106437,0.00106437,0.00106437
8,493.036,1.33339,1.54374,1.34819,0.34865,0.48232,0.39675,0.17269,2.14511,3.53958,1.91261,0.00103344,0.00103344,0.00103344
9,552.098,1.3229,1.49364,1.34622,0.4593,0.72376,0.55912,0.3165,1.66089,2.33673,1.58959,0.0010025,0.0010025,0.0010025
10,615.106,1.27398,1.47533,1.30682,0.42109,0.54554,0.47652,0.22698,1.85719,1.94733,1.80862,0.000971562,0.000971562,0.000971562
11,680.264,1.31229,1.44585,1.3347,0.17785,0.46606,0.13949,0.0703,1.93807,7.88317,1.70394,0.000940625,0.000940625,0.000940625
12,742.646,1.26171,1.38065,1.28745,0.45343,0.52611,0.43748,0.22933,1.9758,2.99912,1.92067,0.000909688,0.000909688,0.000909688
13,804.348,1.2008,1.31292,1.26673,0.5465,0.77765,0.71511,0.45892,1.71265,1.90799,1.49742,0.00087875,0.00087875,0.00087875
14,864.13,1.1481,2.1456,1.22131,0.55142,0.60656,0.6836,0.44068,1.69519,2.09493,1.69639,0.000847813,0.000847813,0.000847813
15,919.826,1.13395,1.31008,1.22437,0.72999,0.5212,0.65363,0.40186,1.71268,1.53951,1.59357,0.000816875,0.000816875,0.000816875
16,974.752,1.25488,1.3947,1.30617,0.70922,0.71405,0.69965,0.4326,1.67165,1.54222,1.54034,0.000785938,0.000785938,0.000785938
17,1031.94,1.13634,1.20521,1.23651,0.70845,0.70809,0.77851,0.50582,1.58209,1.54704,1.41464,0.000755,0.000755,0.000755
18,1090.67,1.08765,1.15941,1.21869,0.63913,0.73546,0.74102,0.45363,1.48002,1.55566,1.46077,0.000724062,0.000724062,0.000724062
19,1150.17,1.07597,1.18094,1.19796,0.66084,0.76698,0.68167,0.42376,1.39601,1.30112,1.39263,0.000693125,0.000693125,0.000693125
20,1208.97,1.1214,1.11767,1.24137,0.72931,0.7519,0.74477,0.47175,1.48599,1.31174,1.43278,0.000662188,0.000662188,0.000662188
21,1267.21,1.10344,1.14917,1.2184,0.72426,0.78144,0.76356,0.49602,1.37282,1.62378,1.40942,0.00063125,0.00063125,0.00063125
22,1325.73,1.06466,1.09026,1.19807,0.81627,0.69331,0.77718,0.51755,1.50485,1.47324,1.57183,0.000600313,0.000600313,0.000600313
23,1383.93,1.01623,1.06964,1.14002,0.86204,0.711,0.82557,0.54711,1.58107,1.03465,1.59452,0.000569375,0.000569375,0.000569375
24,1443.42,1.03946,1.1122,1.16606,0.82855,0.71694,0.7933,0.50418,1.6363,1.17734,1.62239,0.000538438,0.000538438,0.000538438
25,1503.76,1.02336,1.01282,1.1625,0.7899,0.69928,0.78751,0.52521,1.50104,1.08933,1.62059,0.0005075,0.0005075,0.0005075
26,1562.19,0.99492,1.00902,1.18018,0.76707,0.73119,0.8023,0.53339,1.4889,1.02467,1.66192,0.000476562,0.000476562,0.000476562
