epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8427,1.05932,2.11972,1.29888,0.83079,0.64446,0.7848,0.64425,1.0593,3.0525,1.11953,0.0001625,0.0001625,0.0001625
2,117.928,1.0921,1.46611,1.22163,0.57676,0.74143,0.69664,0.51109,1.33633,2.68674,1.17454,0.000326362,0.000326362,0.000326362
3,173.758,1.15177,1.34317,1.22231,0.57218,0.64268,0.65564,0.42615,1.67589,3.43803,1.51753,0.000478675,0.000478675,0.000478675
4,227.661,1.12578,1.23685,1.20129,0.64722,0.53858,0.63633,0.38515,1.8801,2.55012,2.0009,0.000619438,0.000619438,0.000619438
5,284.815,1.09766,1.23416,1.22174,0.71863,0.53256,0.67673,0.40735,1.82159,3.54663,1.67568,0.00074865,0.00074865,0.00074865
6,349.379,1.16991,1.32842,1.2511,0.62793,0.64967,0.60473,0.31178,1.77855,3.71599,1.61237,0.000866313,0.000866313,0.000866313
7,406.564,1.22266,1.37612,1.31547,0.62115,0.55456,0.48719,0.24864,1.73927,3.99964,1.5644,0.000972425,0.000972425,0.000972425
8,464.56,1.28652,1.35796,1.28332,0.36704,0.6469,0.43091,0.1892,1.92777,3.21685,1.91702,0.00096125,0.00096125,0.00096125
9,519.513,1.25913,1.2918,1.28451,0.53554,0.73232,0.55945,0.29678,1.84861,3.00018,1.80294,0.00092,0.00092,0.00092
10,576.756,1.2424,1.23011,1.29602,0.27332,0.41381,0.22781,0.10274,1.9819,5.12215,1.71822,0.00087875,0.00087875,0.00087875
11,633.005,1.23162,1.2481,1.287,0.33718,0.47254,0.24545,0.12018,1.93211,5.19671,1.72191,0.0008375,0.0008375,0.0008375
12,687.566,1.1505,1.12489,1.22037,0.44404,0.68003,0.41853,0.20168,1.75219,6.02052,1.68337,0.00079625,0.00079625,0.00079625
13,747.602,1.12869,1.07021,1.22453,0.24917,0.57405,0.25015,0.15342,1.57536,9.36198,1.38888,0.000755,0.000755,0.000755
14,803.151,1.12045,1.07463,1.23399,0.31071,0.66111,0.34326,0.22069,1.74541,8.08978,1.61656,0.00071375,0.00071375,0.00071375
15,857.862,1.08355,1.01365,1.21397,0.49883,0.42386,0.45997,0.2874,1.74244,3.3926,1.75565,0.0006725,0.0006725,0.0006725
16,913.352,1.06705,1.0918,1.19915,0.62222,0.67753,0.65667,0.4297,1.60716,1.38868,1.52259,0.00063125,0.00063125,0.00063125
