epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.7952,1.11411,2.0833,1.34562,0.75533,0.72582,0.76647,0.67027,0.98391,1.81142,1.07303,0.0001625,0.0001625,0.0001625
2,174.336,1.05371,1.63391,1.23081,0.64583,0.68691,0.73586,0.53688,1.49029,3.56824,1.5455,0.000329147,0.000329147,0.000329147
3,248.571,1.0787,1.39556,1.24464,0.58449,0.65032,0.59629,0.32642,1.91591,5.11945,1.93266,0.000487131,0.000487131,0.000487131
4,322.496,1.21862,1.36078,1.28322,0.46798,0.55219,0.44614,0.20431,2.03201,3.95499,1.87909,0.000636453,0.000636453,0.000636453
5,397.319,1.21835,1.37716,1.26681,0.54935,0.385,0.43684,0.18286,2.10063,2.90039,1.77157,0.000777113,0.000777113,0.000777113
6,471.734,1.21545,1.34572,1.27866,0.36237,0.71595,0.38844,0.19275,1.59084,6.8496,1.52215,0.000909109,0.000909109,0.000909109
7,544.787,1.29343,1.4568,1.35199,0.31057,0.7575,0.30527,0.15058,1.77164,5.02246,1.71435,0.00103244,0.00103244,0.00103244
8,618.195,1.24558,1.39012,1.33031,0.22023,0.5834,0.21998,0.09687,2.06495,6.37445,2.08757,0.00103344,0.00103344,0.00103344
9,689.361,1.27275,1.38624,1.34871,0.20826,0.76476,0.19732,0.09455,1.83906,11.2304,1.72488,0.0010025,0.0010025,0.0010025
10,759.339,1.22852,1.32188,1.29301,0.23315,0.62378,0.23197,0.10642,1.83898,32.2362,1.6047,0.000971562,0.000971562,0.000971562
11,829.086,1.25116,1.28741,1.31237,0.32625,0.74617,0.38332,0.19266,1.75737,3.49394,1.46955,0.000940625,0.000940625,0.000940625
12,899.659,1.22901,1.30436,1.31774,0.31904,0.68007,0.38262,0.19744,1.80073,3.22888,1.69115,0.000909688,0.000909688,0.000909688
13,971.272,1.17432,1.16664,1.25204,0.28525,0.73345,0.37569,0.22634,1.8832,5.48137,1.8424,0.00087875,0.00087875,0.00087875
14,1042.33,1.09008,1.1286,1.22621,0.32812,0.82971,0.32982,0.15412,1.87745,7.24798,2.00717,0.000847813,0.000847813,0.000847813
15,1112.76,1.10397,1.07794,1.22055,0.41702,0.7531,0.46253,0.26653,1.69086,1.88928,1.75122,0.000816875,0.000816875,0.000816875
16,1175.55,1.06611,1.06729,1.2087,0.62927,0.76426,0.7172,0.45284,1.61425,1.83642,1.6251,0.000785938,0.000785938,0.000785938
17,1231.71,1.03643,1.01687,1.17793,0.65402,0.64587,0.68754,0.44641,1.61231,2.03192,1.65009,0.000755,0.000755,0.000755
18,1282.58,1.031,1.03985,1.17966,0.55217,0.76198,0.59785,0.37976,1.69088,1.62514,1.78973,0.000724062,0.000724062,0.000724062
19,1335.24,1.01059,0.96688,1.15348,0.49923,0.7407,0.50614,0.29881,1.62786,1.79692,1.80923,0.000693125,0.000693125,0.000693125
20,1386.78,1.02094,0.98078,1.16242,0.43729,0.83148,0.53792,0.30699,1.57592,2.79277,1.57847,0.000662188,0.000662188,0.000662188
21,1439.49,1.02276,0.96841,1.15857,0.62459,0.68623,0.69376,0.46771,1.58438,1.26252,1.505,0.00063125,0.00063125,0.00063125
22,1493.66,0.99751,0.92998,1.1526,0.72645,0.73587,0.74437,0.49317,1.59258,1.17627,1.56236,0.000600313,0.000600313,0.000600313
23,1544.05,0.94183,0.86943,1.11435,0.76103,0.77488,0.77211,0.52189,1.51664,1.09799,1.49507,0.000569375,0.000569375,0.000569375
24,1597.23,0.92638,0.856,1.12951,0.77863,0.7701,0.82415,0.59129,1.45722,1.11676,1.38982,0.000538438,0.000538438,0.000538438
25,1648.62,0.95941,0.90531,1.17653,0.82716,0.8381,0.82575,0.60264,1.44896,1.05492,1.41863,0.0005075,0.0005075,0.0005075
26,1704.73,0.92706,0.82207,1.13037,0.75507,0.83483,0.82678,0.59392,1.42177,0.91729,1.43486,0.000476562,0.000476562,0.000476562
